#=====================================================
# File created:        Sun-10-Mar-2024-at-08-45-51AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        15.346923
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00140    0.3600   -1298.5879  0.7878 
   00141    0.4225   -1292.5777  0.7897 
   00142    0.4350   -1293.5295  0.7850 
   00143    0.3925   -1305.9378  0.7906 
   00144    0.4100   -1283.4252  0.7780 
   00145    0.3525   -1289.8012  0.7823 
   00146    0.4575   -1264.3396  0.7727 
   00147    0.4200   -1291.2741  0.7836 
   00148    0.4100   -1289.0019  0.7824 
   00149    0.3950   -1277.3775  0.7796 
   00150    0.4425   -1278.5193  0.7784 
   00151    0.4050   -1275.2834  0.7767 
   00152    0.4375   -1242.3447  0.7845 
   00153    0.4000   -1245.3793  0.7859 
   00154    0.4250   -1253.1944  0.7882 
   00155    0.4350   -1272.2867  0.8032 
   00156    0.3850   -1261.3922  0.7922 
   00157    0.4075   -1247.9224  0.7894 
   00158    0.3775   -1252.1755  0.7841 
   00159    0.3650   -1245.6349  0.7734 
   00160    0.3875   -1251.7948  0.7777 
   00161    0.4200   -1275.2356  0.7738 
   00162    0.4425   -1242.9377  0.7612 
   00163    0.3775   -1245.5030  0.7647 
   00164    0.4150   -1271.6424  0.7679 
   00165    0.4225   -1264.0478  0.7604 
   00166    0.4300   -1252.1846  0.7480 
   00167    0.3900   -1244.9574  0.7474 
   00168    0.4450   -1237.8988  0.7522 
   00169    0.4250   -1223.5512  0.7460 
   00170    0.4275   -1224.8842  0.7343 
   00171    0.4175   -1220.3098  0.7337 
   00172    0.4200   -1240.4879  0.7366 
   00173    0.4125   -1245.4233  0.7377 
   00174    0.3875   -1263.4553  0.7465 
   00175    0.3800   -1267.2818  0.7503 
   00176    0.4475   -1260.1686  0.7538 
   00177    0.4225   -1267.4521  0.7694 
   00178    0.4075   -1253.9179  0.7728 
   00179    0.3825   -1271.1454  0.7885 
   00180    0.3650   -1264.5895  0.7885 
   00181    0.4000   -1250.4778  0.7910 
   00182    0.3975   -1265.9032  0.7998 
   00183    0.4175   -1261.4444  0.8016 
   00184    0.4050   -1266.4635  0.8048 
   00185    0.4300   -1280.1558  0.7973 
   00186    0.4150   -1310.9886  0.8097 
   00187    0.3725   -1317.8960  0.8085 
   00188    0.4050   -1306.3441  0.8047 
   00189    0.3825   -1320.0098  0.8095 
   00190    0.3750   -1316.7812  0.8101 
   00191    0.3925   -1308.0392  0.8161 
   00192    0.3850   -1315.0724  0.8145 
   00193    0.4050   -1288.1235  0.8005 
   00194    0.3950   -1279.7413  0.7975 
   00195    0.3900   -1297.0087  0.7987 
   00196    0.3675   -1292.2169  0.7995 
   00197    0.4275   -1287.1294  0.7971 
   00198    0.4075   -1292.2712  0.8034 
   00199    0.3475   -1286.3558  0.8008 
   00200    0.3875   -1292.9291  0.7893 
   00201    0.3775   -1274.4900  0.7793 
   00202    0.3825   -1294.7064  0.7919 
   00203    0.4225   -1293.9789  0.7932 
   00204    0.3600   -1299.1845  0.7846 
   00205    0.3650   -1271.6545  0.7760 
   00206    0.4075   -1252.1479  0.7531 
   00207    0.4025   -1241.9028  0.7427 
   00208    0.3675   -1254.4590  0.7446 
   00209    0.4625   -1236.0214  0.7440 
   00210    0.3675   -1239.6492  0.7496 
   00211    0.3725   -1254.8528  0.7579 
   00212    0.4375   -1257.3741  0.7567 
   00213    0.4375   -1250.6293  0.7450 
   00214    0.4050   -1261.1934  0.7634 
   00215    0.3625   -1262.2559  0.7628 
   00216    0.3775   -1254.8991  0.7694 
   00217    0.4200   -1265.7891  0.7606 
   00218    0.3875   -1249.3583  0.7549 
   00219    0.3750   -1275.4850  0.7637 
   00220    0.4075   -1253.2553  0.7545 
   00221    0.3625   -1285.5782  0.7641 
   00222    0.4125   -1259.6466  0.7631 
   00223    0.3700   -1263.6123  0.7796 
   00224    0.4300   -1275.2958  0.7975 
   00225    0.4300   -1289.4022  0.7927 
   00226    0.4225   -1279.8751  0.7857 
   00227    0.4225   -1272.5975  0.7950 
   00228    0.3900   -1268.0402  0.7793 
   00229    0.3975   -1277.2799  0.7828 
   00230    0.4050   -1273.0450  0.7952 
   00231    0.3875   -1264.1666  0.8022 
   00232    0.3975   -1266.2912  0.7900 
   00233    0.3950   -1272.4381  0.7867 
   00234    0.4050   -1271.3538  0.7910 
   00235    0.4025   -1280.3483  0.7911 
   00236    0.4050   -1283.2520  0.7954 
   00237    0.4375   -1279.3888  0.7977 
   00238    0.3975   -1263.9407  0.7954 
   00239    0.3550   -1280.1127  0.8080 
   00240    0.3550   -1292.4000  0.8280 
   00241    0.4500   -1274.2778  0.8272 
   00242    0.4350   -1255.1254  0.8194 
   00243    0.4150   -1269.2798  0.8231 
   00244    0.3925   -1285.2112  0.8317 
   00245    0.3950   -1262.3421  0.8281 
   00246    0.3800   -1262.4692  0.8168 
   00247    0.3975   -1274.6598  0.8174 
   00248    0.3625   -1298.8967  0.8258 
   00249    0.4150   -1286.1081  0.8115 
   00250    0.4100   -1289.0405  0.8167 
   00251    0.3725   -1292.7816  0.8226 
   00252    0.4225   -1280.4006  0.8173 
   00253    0.4225   -1292.3024  0.8302 
   00254    0.4650   -1298.8594  0.8296 
   00255    0.4300   -1295.9715  0.8240 
   00256    0.4075   -1263.0495  0.8086 
   00257    0.4225   -1271.2075  0.8180 
   00258    0.4450   -1288.4569  0.8167 
   00259    0.4075   -1287.5946  0.7903 
   00260    0.3975   -1312.6506  0.7965 
   00261    0.4025   -1296.4577  0.7907 
   00262    0.4225   -1300.3792  0.7881 
   00263    0.4025   -1308.0060  0.7904 
   00264    0.3650   -1286.0278  0.7798 
   00265    0.4175   -1278.5157  0.7710 
   00266    0.4000   -1279.0364  0.7725 
   00267    0.3975   -1282.1750  0.7781 
   00268    0.3975   -1281.2461  0.7770 
   00269    0.4150   -1283.2831  0.7809 
   00270    0.3700   -1293.1962  0.7883 
   00271    0.3925   -1281.0516  0.7874 
   00272    0.3725   -1279.1052  0.7846 
   00273    0.3775   -1290.9862  0.7913 
   00274    0.4050   -1304.6201  0.8048 
   00275    0.3950   -1294.1221  0.8070 
   00276    0.3925   -1293.9101  0.8016 
   00277    0.4025   -1306.7384  0.8126 
   00278    0.3800   -1305.0701  0.8172 
   00279    0.3300   -1307.0801  0.8054 
   00280    0.3725   -1305.8643  0.7981 
   00281    0.3825   -1299.0214  0.7962 
   00282    0.3925   -1307.6513  0.8042 
   00283    0.3750   -1303.9066  0.8046 
   00284    0.4250   -1312.6931  0.8022 
   00285    0.3800   -1274.9412  0.7939 
   00286    0.4150   -1287.7502  0.8050 
   00287    0.3600   -1277.3561  0.8003 
   00288    0.3825   -1276.6248  0.8023 
   00289    0.3875   -1282.6100  0.8102 
   00290    0.3900   -1314.1162  0.8206 
   00291    0.4075   -1287.1607  0.8097 
   00292    0.3900   -1304.5232  0.8146 
   00293    0.4200   -1292.8561  0.8232 
   00294    0.3750   -1307.3939  0.8277 
   00295    0.3875   -1271.7542  0.8154 
   00296    0.3900   -1260.5230  0.8012 
   00297    0.3950   -1255.1457  0.7962 
   00298    0.3725   -1284.1460  0.8141 
   00299    0.3575   -1295.8642  0.8151 
   00300    0.3775   -1297.7230  0.8235 
   00301    0.4450   -1307.8120  0.8297 
   00302    0.4100   -1311.6739  0.8276 
   00303    0.3925   -1294.0309  0.8229 
   00304    0.4125   -1268.1088  0.7979 
   00305    0.4300   -1283.2039  0.8002 
   00306    0.3950   -1296.8524  0.8055 
   00307    0.3800   -1303.8929  0.8172 
   00308    0.3825   -1282.7313  0.8135 
   00309    0.3875   -1293.3061  0.8081 
   00310    0.3925   -1275.7565  0.8080 
   00311    0.3875   -1301.3593  0.8171 
   00312    0.3625   -1316.8001  0.8221 
   00313    0.4075   -1308.6734  0.8218 
   00314    0.3825   -1294.5488  0.8108 
   00315    0.3900   -1282.8917  0.8083 
   00316    0.3975   -1294.9604  0.8157 
   00317    0.3600   -1309.8492  0.8158 
