LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.350, Time: 5.770004 s
         1463779 function calls (1448302 primitive calls) in 7.309 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 dviread.py:238(Dvi)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'random_sample' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
       14    0.000    0.000    0.002    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       32    0.000    0.000    0.000    0.000 warnings.py:440(__init__)
        1    0.000    0.000    0.002    0.002 core.py:5798(<listcomp>)
        8    0.000    0.000    0.000    0.000 typing.py:1019(__init__)
       61    0.000    0.000    0.000    0.000 inspect.py:2465(<lambda>)
       30    0.000    0.000    0.002    0.000 pathlib.py:940(glob)
        1    0.000    0.000    0.003    0.003 <frozen ntpath>:1(<module>)
      104    0.000    0.000    0.000    0.000 _docstring.py:88(do_copy)
        2    0.000    0.000    0.006    0.003 exceptions.py:1(<module>)
       84    0.000    0.000    0.000    0.000 core.py:3904(<genexpr>)
       18    0.000    0.000    0.000    0.000 cycler.py:415(cycler)
       14    0.000    0.000    0.000    0.000 deprecation.py:350(<genexpr>)
        1    0.000    0.000    0.000    0.000 helpers.py:1061(<listcomp>)
       20    0.000    0.000    0.003    0.000 core.py:4779(parseImpl)
      170    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
     27/7    0.000    0.000    0.002    0.000 core.py:4409(streamline)
        1    0.000    0.000    0.015    0.015 textpath.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:2946(__new__)
       16    0.000    0.000    0.000    0.000 core.py:4084(__init__)
        1    0.000    0.000    0.003    0.003 _afm.py:1(<module>)
       31    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        7    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
       40    0.000    0.000    0.000    0.000 types.py:164(__init__)
       15    0.000    0.000    0.002    0.000 core.py:2792(charsAsStr)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing.py:1851(__init_subclass__)
       93    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        1    0.000    0.000    0.008    0.008 utils.py:1(<module>)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       61    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        3    0.000    0.000    0.010    0.003 patches.py:2184(__init_subclass__)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1597(_make_netmask)
       47    0.000    0.000    0.000    0.000 core.py:2345(parseImpl)
      104    0.000    0.000    0.000    0.000 _docstring.py:86(copy)
        1    0.000    0.000    0.005    0.005 decoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       15    0.000    0.000    0.000    0.000 rcsetup.py:85(_listify_validator)
        3    0.000    0.000    0.000    0.000 enum.py:1369(_missing_)
     10/3    0.000    0.000    0.001    0.000 unicode.py:14(__get__)
      204    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
       10    0.000    0.000    0.000    0.000 version.py:504(_cmpkey)
       10    0.000    0.000    0.000    0.000 deprecation.py:242(__set_name__)
       11    0.000    0.000    0.000    0.000 rcsetup.py:336(_validate_cmap)
        1    0.000    0.000    0.012    0.012 overrides.py:1(<module>)
       20    0.000    0.000    0.002    0.000 core.py:4956(parseImpl)
        1    0.000    0.000    0.001    0.001 markers.py:1(<module>)
        1    0.000    0.000    0.039    0.039 _pickle.py:1(<module>)
        1    0.000    0.000    7.310    7.310 LebwohlLasher.py:1(<module>)
       20    0.000    0.000    0.000    0.000 _docstring.py:43(update)
      102    0.000    0.000    0.000    0.000 typing.py:1406(<genexpr>)
      135    0.000    0.000    0.000    0.000 core.py:3803(<genexpr>)
       16    0.000    0.000    0.000    0.000 core.py:2820(parseImpl)
       10    0.000    0.000    0.002    0.000 core.py:2791(_generateDefaultName)
    33/15    0.000    0.000    0.002    0.000 core.py:4373(parseImpl)
       62    0.000    0.000    0.000    0.000 patches.py:2259(_register_style)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
      138    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
       13    0.000    0.000    0.001    0.000 typing.py:702(Optional)
        1    0.000    0.000    0.000    0.000 Image.py:465(Image)
       81    0.000    0.000    0.000    0.000 __init__.py:14(set_module)
        1    0.000    0.000    0.001    0.001 _tricontour.py:1(<module>)
        1    0.000    0.000    0.012    0.012 ExifTags.py:1(<module>)
       57    0.000    0.000    0.000    0.000 __init__.py:154(<genexpr>)
       52    0.000    0.000    0.000    0.000 linalg.py:488(_unary_dispatcher)
       38    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
      8/4    0.000    0.000    0.001    0.000 functools.py:981(__get__)
        1    0.000    0.000    0.372    0.372 colorbar.py:1(<module>)
        1    0.000    0.000    0.004    0.004 layout_engine.py:1(<module>)
       12    0.000    0.000    0.000    0.000 dataclasses.py:449(_field_init)
      154    0.000    0.000    0.000    0.000 core.py:1700(leave_whitespace)
       81    0.000    0.000    0.000    0.000 __init__.py:25(decorator)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.006    0.006 mathtext.py:1(<module>)
       19    0.000    0.000    0.000    0.000 path.py:202(_update_values)
        1    0.000    0.000    0.006    0.006 platform.py:1(<module>)
       28    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.013    0.013 __init__.py:208(_check_versions)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
       38    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        2    0.000    0.000    0.000    0.000 core.py:2978(__array_finalize__)
        2    0.000    0.000    0.000    0.000 {built-in method posix.uname}
       14    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
     12/5    0.000    0.000    0.001    0.000 core.py:4092(streamline)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.003    0.003 base64.py:1(<module>)
      105    0.000    0.000    0.001    0.000 __init__.py:299(wrapper)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
       16    0.000    0.000    0.001    0.000 core.py:1526(__or__)
        1    0.000    0.000    0.010    0.010 table.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.067    0.067 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.003    0.003 lzma.py:1(<module>)
       26    0.000    0.000    0.000    0.000 enum.py:961(_find_data_repr_)
       97    0.000    0.000    0.000    0.000 core.py:1868(streamline)
       53    0.000    0.000    0.000    0.000 six.py:182(_add_module)
       18    0.000    0.000    0.000    0.000 transforms.py:56(_make_str_method)
       43    0.000    0.000    0.000    0.000 typing.py:1568(<genexpr>)
        8    0.000    0.000    0.000    0.000 deprecation.py:139(finalize)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
       15    0.000    0.000    0.001    0.000 typing.py:1618(__getitem__)
        1    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
       29    0.000    0.000    0.000    0.000 __init__.py:1332(_to_unmasked_float_array)
        8    0.000    0.000    0.000    0.000 dataclasses.py:827(_set_new_attribute)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       28    0.000    0.000    0.000    0.000 rcsetup.py:449(_validate_linestyle)
        1    0.000    0.000    0.000    0.000 ticker.py:1676(IndexLocator)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
       90    0.000    0.000    0.000    0.000 cycler.py:165(keys)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _scalars.py:1(<module>)
       61    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 LebwohlLasher.py:33(initdat)
        1    0.000    0.000    0.004    0.004 api.py:1(<module>)
       63    0.000    0.000    0.000    0.000 inspect.py:310(ismethoddescriptor)
        1    0.000    0.000    0.001    0.001 relativedelta.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
        7    0.000    0.000    0.001    0.000 typing.py:2855(_make_nmtuple)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1721(_parse_hextet)
        1    0.000    0.000    0.001    0.001 tokenize.py:392(open)
      161    0.000    0.000    0.000    0.000 util.py:196(escape_re_range_char)
        1    0.000    0.000    0.000    0.000 colorbar.py:195(Colorbar)
       58    0.000    0.000    0.000    0.000 typing.py:1656(<genexpr>)
        1    0.000    0.000    0.000    0.000 getlimits.py:540(_init)
       97    0.000    0.000    0.000    0.000 core.py:5713(<genexpr>)
       34    0.000    0.000    0.000    0.000 traceback.py:297(__getitem__)
       32    0.000    0.000    0.000    0.000 __init__.py:237(_releaseLock)
        1    0.000    0.000    0.000    0.000 numerictypes.py:441(_construct_lookups)
        1    0.000    0.000    0.099    0.099 __config__.py:1(<module>)
       36    0.000    0.000    0.003    0.000 traceback.py:316(line)
       18    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        1    0.000    0.000    0.002    0.002 _constrained_layout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        8    0.000    0.000    0.001    0.000 colors.py:1595(make_norm_from_scale)
        1    0.000    0.000    0.001    0.001 _enums.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polar.py:803(PolarAxes)
        1    0.000    0.000    0.027    0.027 py3k.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
        1    0.000    0.000    0.000    0.000 uuid.py:85(UUID)
       15    0.000    0.000    0.000    0.000 _compiler.py:405(_generate_overlap_table)
        2    0.000    0.000    0.001    0.000 __init__.py:502(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
       49    0.000    0.000    0.000    0.000 core.py:2333(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 artist.py:117(Artist)
       74    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:351(_sanity_check)
       10    0.000    0.000    0.001    0.000 extras.py:237(getdoc)
       28    0.000    0.000    0.001    0.000 core.py:5368(__init__)
        1    0.000    0.000    0.000    0.000 {method 'accumulate' of 'numpy.ufunc' objects}
       14    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       78    0.000    0.000    0.000    0.000 util.py:108(get)
       36    0.000    0.000    0.000    0.000 rcsetup.py:711(<genexpr>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
      168    0.000    0.000    0.000    0.000 <frozen _collections_abc>:835(__iter__)
        1    0.000    0.000    0.036    0.036 defmatrix.py:1(<module>)
       46    0.000    0.000    0.000    0.000 six.py:110(__init__)
       23    0.000    0.000    0.000    0.000 core.py:4948(__init__)
        1    0.000    0.000    0.000    0.000 results.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        1    0.000    0.000    0.000    0.000 _layoutgrid.py:1(<module>)
       44    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       37    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
        1    0.000    0.000    0.001    0.001 unicode.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _triinterpolate.py:1(<module>)
       78    0.000    0.000    0.000    0.000 _internal.py:883(<genexpr>)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:578(_ReducedHCT_Element)
        4    0.000    0.000    0.000    0.000 function_base.py:2285(__init__)
        1    0.000    0.000    0.001    0.001 legend_handler.py:1(<module>)
        1    0.000    0.000    0.002    0.002 path.py:1(<module>)
       29    0.000    0.000    0.000    0.000 __init__.py:795(__init__)
        1    0.000    0.000    0.000    0.000 patches.py:3062(ArrowStyle)
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
        6    0.000    0.000    0.000    0.000 deprecation.py:363(<listcomp>)
       30    0.000    0.000    0.000    0.000 __init__.py:202(_checkLevel)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1157(_make_netmask)
        9    0.000    0.000    0.000    0.000 pathlib.py:868(__new__)
        1    0.000    0.000    0.003    0.003 traceback.py:397(_extract_from_extended_frame_gen)
       25    0.000    0.000    0.000    0.000 <frozen os>:756(encode)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
       63    0.000    0.000    0.000    0.000 inspect.py:505(isbuiltin)
        1    0.000    0.000    0.000    0.000 _cm.py:158(<dictcomp>)
       43    0.000    0.000    0.000    0.000 typing.py:277(_check_generic)
        8    0.000    0.000    0.000    0.000 pathlib.py:530(_make_child)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       12    0.000    0.000    0.006    0.000 rcsetup.py:401(validate_font_properties)
       86    0.000    0.000    0.000    0.000 multiarray.py:1080(copyto)
        1    0.000    0.000    0.024    0.024 category.py:1(<module>)
       15    0.000    0.000    0.000    0.000 dataclasses.py:664(_is_type)
        1    0.000    0.000    0.015    0.015 axis3d.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
        7    0.000    0.000    0.000    0.000 getlimits.py:685(__init__)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
       29    0.000    0.000    0.000    0.000 pathlib.py:239(splitroot)
      100    0.000    0.000    0.000    0.000 fromnumeric.py:2974(_prod_dispatcher)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _fontconfig_pattern.py:57(_make_fontconfig_parser)
        4    0.000    0.000    0.000    0.000 core.py:1437(__mul__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:340(<dictcomp>)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1595(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(__init__)
       54    0.000    0.000    0.000    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 scale.py:729(_get_scale_docs)
        1    0.000    0.000    0.000    0.000 ImageColor.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _text_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:2038(MultiCursor)
        3    0.000    0.000    0.000    0.000 __init__.py:197(caching_module_getattr)
        1    0.000    0.000    0.000    0.000 widgets.py:2175(_SelectorWidget)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.001    0.001 abc.py:1(<module>)
        1    0.000    0.000    0.004    0.004 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
        1    0.000    0.000    0.000    0.000 transforms.py:222(BboxBase)
      178    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
        4    0.000    0.000    0.000    0.000 colors.py:1662(Norm)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        5    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.000    0.000 axis3d.py:53(Axis)
        7    0.000    0.000    0.000    0.000 __init__.py:902(__set_name__)
        1    0.000    0.000    0.000    0.000 patches.py:665(Rectangle)
        1    0.000    0.000    0.000    0.000 tokenize.py:299(detect_encoding)
        7    0.000    0.000    0.000    0.000 weakref.py:289(update)
       10    0.000    0.000    0.000    0.000 results.py:436(<listcomp>)
       24    0.000    0.000    0.000    0.000 numerictypes.py:514(_scalar_type_key)
        1    0.000    0.000    0.005    0.005 spines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:1512(Ellipse)
        1    0.000    0.000    0.000    0.000 backend_tools.py:73(ToolBase)
       12    0.000    0.000    0.000    0.000 core.py:5667(<lambda>)
       52    0.000    0.000    0.000    0.000 core.py:3819(<genexpr>)
       17    0.000    0.000    0.000    0.000 inspect.py:2798(__hash__)
       53    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
       58    0.000    0.000    0.000    0.000 results.py:244(__bool__)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6754(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1854(_split_scope_id)
       95    0.000    0.000    0.000    0.000 results.py:17(__getitem__)
       54    0.000    0.000    0.000    0.000 typing.py:1818(<genexpr>)
        1    0.000    0.000    0.000    0.000 pathlib.py:455(PurePath)
      134    0.000    0.000    0.000    0.000 six.py:93(__init__)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
        4    0.000    0.000    0.000    0.000 ast.py:54(literal_eval)
        2    0.000    0.000    0.003    0.002 dataclasses.py:1219(wrap)
        1    0.000    0.000    0.000    0.000 pprint.py:106(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
       27    0.000    0.000    0.000    0.000 rcsetup.py:563(_validate_greaterequal0_lessequal1)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'set' objects}
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
        1    0.000    0.000    0.000    0.000 texmanager.py:56(TexManager)
        1    0.000    0.000    0.000    0.000 texmanager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tz.py:1545(__init__)
        1    0.000    0.000    0.000    0.000 figure.py:2157(SubFigure)
      148    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
        1    0.000    0.000    0.001    0.001 ipaddress.py:2265(_IPv6Constants)
       10    0.000    0.000    0.000    0.000 version.py:43(parse)
        4    0.000    0.000    0.000    0.000 uuid.py:139(__init__)
        6    0.000    0.000    0.000    0.000 _compiler.py:389(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
     12/2    0.000    0.000    0.000    0.000 core.py:1503(makeOptionalList)
       51    0.000    0.000    0.000    0.000 colors.py:384(<genexpr>)
        1    0.000    0.000    0.000    0.000 colors.py:61(__init__)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:56(__init_subclass__)
      138    0.000    0.000    0.000    0.000 core.py:772(postParse)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
        4    0.000    0.000    0.000    0.000 inspect.py:3055(_hash_basis)
        1    0.000    0.000    0.000    0.000 patches.py:2267(BoxStyle)
        1    0.000    0.000    0.002    0.002 expat.py:1(<module>)
     16/4    0.000    0.000    0.000    0.000 ast.py:84(_convert)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        7    0.000    0.000    0.000    0.000 typing.py:2857(<dictcomp>)
        6    0.000    0.000    0.000    0.000 patches.py:2237(<listcomp>)
        1    0.000    0.000    0.000    0.000 _parser.py:294(__init__)
        7    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 transforms.py:673(Bbox)
       26    0.000    0.000    0.001    0.000 core.py:6855(__init__)
        6    0.000    0.000    0.000    0.000 enum.py:1499(__or__)
        1    0.000    0.000    0.003    0.003 _globals.py:1(<module>)
        6    0.000    0.000    0.000    0.000 pathlib.py:1245(is_dir)
        1    0.000    0.000    0.001    0.001 __init__.py:377(_mac_os_check)
        1    0.000    0.000    0.000    0.000 datetime.py:1669(datetime)
        1    0.000    0.000    0.001    0.001 isoparser.py:1(<module>)
       44    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
       49    0.000    0.000    0.000    0.000 typing.py:1641(<genexpr>)
       14    0.000    0.000    0.000    0.000 typing.py:1613(copy_with)
        6    0.000    0.000    0.000    0.000 deprecation.py:506(suppress_matplotlib_deprecation_warning)
        1    0.000    0.000    0.000    0.000 ElementTree.py:79(DefusedXMLParser)
       32    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:36(Tick)
        1    0.000    0.000    0.002    0.002 heapq.py:1(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:1734(isEnabledFor)
       32    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x10446aca0}
       57    0.000    0.000    0.000    0.000 __init__.py:274(<genexpr>)
        1    0.000    0.000    0.023    0.023 secrets.py:1(<module>)
      165    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       46    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       31    0.000    0.000    0.000    0.000 numeric.py:1855(isscalar)
       36    0.000    0.000    0.000    0.000 core.py:4148(<genexpr>)
        1    0.000    0.000    0.000    0.000 pickle.py:407(_Pickler)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2965(NavigationToolbar2)
       18    0.000    0.000    0.000    0.000 cycler.py:386(<dictcomp>)
       37    0.000    0.000    0.000    0.000 version.py:203(<genexpr>)
        9    0.000    0.000    0.006    0.001 core.py:5392(__init__)
       14    0.000    0.000    0.001    0.000 core.py:5585(__init__)
        8    0.000    0.000    0.000    0.000 typing.py:845(__init__)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       64    0.000    0.000    0.000    0.000 core.py:3858(<genexpr>)
        7    0.000    0.000    0.000    0.000 core.py:1392(__radd__)
       10    0.000    0.000    0.000    0.000 deprecation.py:239(__init__)
        1    0.000    0.000    0.000    0.000 image.py:230(_ImageBase)
       17    0.000    0.000    0.000    0.000 rcsetup.py:273(validate_color_or_auto)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        1    0.000    0.000    0.001    0.001 gridspec.py:27(GridSpecBase)
        1    0.000    0.000    0.003    0.003 decimal.py:1(<module>)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 results.py:27(ParseResults)
       44    0.000    0.000    0.000    0.000 unicode.py:17(<genexpr>)
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:9(Gcf)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
       91    0.000    0.000    0.000    0.000 __init__.py:89(<lambda>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:2487(YAxis)
       40    0.000    0.000    0.000    0.000 enum.py:229(__set_name__)
        2    0.000    0.000    0.000    0.000 dataclasses.py:548(<dictcomp>)
        2    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        1    0.000    0.000    0.000    0.000 axis.py:2228(XAxis)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
        1    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:1483(EventCollection)
        1    0.000    0.000    0.000    0.000 _tight_layout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:757(GraphicsContextBase)
       15    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.007    0.007 _secondary_axes.py:1(<module>)
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:123(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 contour.py:77(ContourLabeler)
        1    0.000    0.000    0.004    0.004 version.py:157(Version)
       14    0.000    0.000    0.003    0.000 core.py:675(<listcomp>)
        8    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:1377(expanduser)
       54    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.007    0.007 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:1168(Wedge)
        8    0.000    0.000    0.000    0.000 core.py:4758(__init__)
        1    0.000    0.000    0.000    0.000 _factories.py:8(_TzSingleton)
       14    0.000    0.000    0.000    0.000 __init__.py:198(split)
        1    0.000    0.000    0.000    0.000 collections.py:1686(EllipseCollection)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
        1    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
       24    0.000    0.000    0.000    0.000 patches.py:2242(<genexpr>)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
        1    0.000    0.000    0.008    0.008 font_manager.py:1533(_load_fontmanager)
        1    0.000    0.000    0.005    0.005 units.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
        2    0.000    0.000    0.000    0.000 types.py:98(prepare_class)
        1    0.000    0.000    0.000    0.000 datetime.py:893(date)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
       94    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
       55    0.000    0.000    0.000    0.000 colors.py:394(<genexpr>)
        1    0.000    0.000    0.000    0.000 testing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cycler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:705(polyval)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:2061(<dictcomp>)
        1    0.000    0.000    0.000    0.000 table.py:238(Table)
        1    0.000    0.000    0.000    0.000 pathlib.py:857(Path)
        5    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        6    0.000    0.000    0.010    0.002 __init__.py:108(import_module)
       38    0.000    0.000    0.000    0.000 results.py:262(haskeys)
