LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.350, Time: 5.770004 s
         1463779 function calls (1448302 primitive calls) in 7.309 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.002    0.000    1.901    0.050 __init__.py:1(<module>)
    342/4    0.002    0.000    1.481    0.370 <frozen importlib._bootstrap>:666(_load_unlocked)
  451/206    0.002    0.000    0.041    0.000 _parser.py:449(_parse_sub)
      254    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      501    0.002    0.000    0.005    0.000 enum.py:365(__setitem__)
      791    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
      188    0.002    0.000    0.002    0.000 colors.py:1101(<listcomp>)
       35    0.002    0.000    0.006    0.000 __init__.py:350(namedtuple)
     3438    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       30    0.002    0.000    0.012    0.000 enum.py:497(__new__)
    293/4    0.002    0.000    1.480    0.370 <frozen importlib._bootstrap_external>:934(exec_module)
      720    0.002    0.000    0.003    0.000 inspect.py:735(unwrap)
      338    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
     3077    0.002    0.000    0.002    0.000 inspect.py:3019(<genexpr>)
     1889    0.002    0.000    0.004    0.000 typing.py:1297(__setattr__)
     5472    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      409    0.002    0.000    0.003    0.000 copy.py:259(_reconstruct)
 3344/795    0.002    0.000    0.002    0.000 __init__.py:362(recursive_subclasses)
      461    0.002    0.000    0.004    0.000 font_manager.py:923(_json_decode)
       92    0.002    0.000    0.024    0.000 __init__.py:1372(_preprocess_data)
     4894    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
       28    0.002    0.000    0.004    0.000 util.py:182(_collapse_string_to_ranges)
   515/82    0.002    0.000    1.287    0.016 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.002    0.002    0.006    0.006 decoder.py:343(raw_decode)
     9226    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      293    0.002    0.000    0.070    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
     2524    0.002    0.000    0.002    0.000 _parser.py:172(append)
     8397    0.002    0.000    0.002    0.000 inspect.py:2739(name)
        1    0.002    0.002    0.002    0.002 {method 'readlines' of '_io._IOBase' objects}
      481    0.002    0.000    0.003    0.000 typing.py:168(_type_check)
      293    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      586    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
      100    0.002    0.000    0.480    0.005 artist.py:159(_update_set_signature_and_docstring)
      206    0.002    0.000    0.070    0.000 _compiler.py:738(compile)
      637    0.002    0.000    0.002    0.000 inspect.py:167(get_annotations)
      969    0.002    0.000    0.025    0.000 __init__.py:699(__setitem__)
      586    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2714    0.002    0.000    0.002    0.000 util.py:185(is_consecutive)
     4531    0.002    0.000    0.002    0.000 artist.py:1567(<genexpr>)
     6526    0.002    0.000    0.002    0.000 {method '__contains__' of 'frozenset' objects}
     2861    0.001    0.000    0.002    0.000 _parser.py:249(match)
      206    0.001    0.000    0.007    0.000 _compiler.py:509(_compile_info)
     6991    0.001    0.000    0.001    0.000 inspect.py:2751(kind)
      344    0.001    0.000    0.006    0.000 inspect.py:786(_finddoc)
1883/1717    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     2219    0.001    0.000    0.002    0.000 typing.py:1245(_is_dunder)
     6742    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      409    0.001    0.000    0.005    0.000 copy.py:66(copy)
      412    0.001    0.000    0.003    0.000 enum.py:1509(__and__)
      879    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      213    0.001    0.000    0.120    0.001 artist.py:1426(__init__)
      244    0.001    0.000    0.008    0.000 typing.py:1353(__init__)
      206    0.001    0.000    0.044    0.000 _parser.py:972(parse)
      317    0.001    0.000    0.009    0.000 overrides.py:142(decorator)
      132    0.001    0.000    0.053    0.000 _docstring.py:38(__call__)
     5774    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      101    0.001    0.000    0.005    0.000 deprecation.py:128(deprecate)
   273/11    0.001    0.000    0.005    0.000 core.py:776(_parseNoCache)
     5315    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
    860/7    0.001    0.000    1.476    0.211 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     2501    0.001    0.000    0.002    0.000 _parser.py:160(__len__)
      278    0.001    0.000    0.005    0.000 overrides.py:83(verify_matching_signatures)
     1434    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      100    0.001    0.000    0.027    0.000 deprecation.py:416(make_keyword_only)
  342/340    0.001    0.000    0.092    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      344    0.001    0.000    0.003    0.000 inspect.py:776(_findclass)
      169    0.001    0.000    0.003    0.000 colors.py:307(_to_rgba_no_colorcycle)
       30    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     1324    0.001    0.000    0.004    0.000 __init__.py:163(match)
      160    0.001    0.000    0.002    0.000 shape_base.py:612(column_stack)
      429    0.001    0.000    0.024    0.000 artist.py:1540(number_of_parameters)
      247    0.001    0.000    0.003    0.000 typing.py:247(_collect_parameters)
      338    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
      698    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
      409    0.001    0.000    0.001    0.000 function_base.py:348(iterable)
        1    0.001    0.001    5.826    5.826 LebwohlLasher.py:257(main)
      929    0.001    0.000    0.019    0.000 artist.py:1546(is_alias)
       19    0.001    0.000    0.002    0.000 typing.py:1563(__getitem__)
       51    0.001    0.000    0.002    0.000 shape_base.py:219(vstack)
        1    0.001    0.001    0.001    0.001 axis.py:604(Axis)
      605    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
     1553    0.001    0.000    0.001    0.000 _parser.py:286(tell)
      338    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      225    0.001    0.000    0.001    0.000 core.py:455(__init__)
     1681    0.001    0.000    0.001    0.000 inspect.py:378(isfunction)
      112    0.001    0.000    0.377    0.003 artist.py:1841(kwdoc)
        1    0.001    0.001    0.001    0.001 datetime.py:1284(IsoCalendarDate)
      666    0.001    0.000    0.002    0.000 {built-in method builtins.max}
        1    0.001    0.001    0.001    0.001 helpers.py:692(<dictcomp>)
